DEBUG 2025-05-08 17:06:17,995 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\numpy\_core\memmap.py first seen with mtime 1744484117.5138824
DEBUG 2025-05-08 17:06:17,995 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\users\forms.py first seen with mtime 1746204543.0395346
DEBUG 2025-05-08 17:06:17,995 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\production_plan\views.py first seen with mtime 1746703064.639367
DEBUG 2025-05-08 17:06:17,995 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\middleware\cache.py first seen with mtime 1744465212.488603
DEBUG 2025-05-08 17:06:17,996 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\io\spss.py first seen with mtime 1744484128.5572832
DEBUG 2025-05-08 17:06:17,996 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\gzip.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:17,996 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\numpy\_core\_add_newdocs_scalars.py first seen with mtime 1744484117.531263
DEBUG 2025-05-08 17:06:17,996 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1744465212.5062647
DEBUG 2025-05-08 17:06:17,996 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\_libs\ops.cp312-win_amd64.pyd first seen with mtime 1744484130.8766496
DEBUG 2025-05-08 17:06:17,997 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\config\settings.py first seen with mtime 1746705963.7245965
DEBUG 2025-05-08 17:06:17,997 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\migrations\graph.py first seen with mtime 1744465212.3097222
DEBUG 2025-05-08 17:06:17,998 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1744465212.143721
DEBUG 2025-05-08 17:06:17,998 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\core\_numba\__init__.py first seen with mtime 1744484128.5282638
DEBUG 2025-05-08 17:06:17,998 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\_libs\tslibs\np_datetime.cp312-win_amd64.pyd first seen with mtime 1744484130.952173
DEBUG 2025-05-08 17:06:17,998 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\models\base.py first seen with mtime 1744465212.328098
DEBUG 2025-05-08 17:06:17,998 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\numpy\_core\_multiarray_umath.cp312-win_amd64.pyd first seen with mtime 1744484117.5718167
DEBUG 2025-05-08 17:06:17,998 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\crispy_forms\layout_slice.py first seen with mtime 1746193173.122776
DEBUG 2025-05-08 17:06:17,999 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\numpy\_utils\_convertions.py first seen with mtime 1744484117.703181
DEBUG 2025-05-08 17:06:17,999 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1744465208.518334
DEBUG 2025-05-08 17:06:17,999 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\_libs\index.cp312-win_amd64.pyd first seen with mtime 1744484130.8126938
DEBUG 2025-05-08 17:06:17,999 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\numpy\lib\_function_base_impl.py first seen with mtime 1744484117.2309637
DEBUG 2025-05-08 17:06:18,000 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\asyncio\trsock.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,000 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\util\__init__.py first seen with mtime 1744484130.721485
DEBUG 2025-05-08 17:06:18,000 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\models\fields\tuple_lookups.py first seen with mtime 1744465212.357151
DEBUG 2025-05-08 17:06:18,000 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\forms\utils.py first seen with mtime 1744465212.3863196
